MaxFac,Threshold_km,PopulationCoverage,PopulationCoverage_percent,OpenedFacilities
1,2,0.1007,10.07,F4
1,3,0.1887,18.87,F4
1,4,0.5594,55.94,F4
1,5,0.7443,74.43,F4
1,6,0.7443,74.43,F4
1,8,0.7443,74.43,F4
1,10,0.89,89.0,F4
2,2,0.2107,21.07,F4;F7
2,3,0.2986,29.86,F4;F7
2,4,0.6694,66.94,F4;F7
2,5,1.0,100.0,F4;F7
2,6,1.0,100.0,F4;F7
2,8,1.0,100.0,F4;F7
2,10,1.0,100.0,F4;F7
3,2,0.4823,48.23,F2;F3;F7
3,3,0.5668,56.68,F2;F3;F7
3,4,0.8543,85.43,F2;F3;F7
3,5,1.0,100.0,F2;F3;F7
3,6,1.0,100.0,F2;F3;F7
3,8,1.0,100.0,F2;F3;F7
3,10,1.0,100.0,F2;F3;F7
4,2,0.4823,48.23,F2;F3;F6;F7
4,3,0.7125,71.25,F2;F3;F6;F7
4,4,1.0,100.0,F2;F3;F6;F7
4,5,1.0,100.0,F2;F3;F6;F7
4,6,1.0,100.0,F2;F3;F6;F7
4,8,1.0,100.0,F2;F3;F6;F7
4,10,1.0,100.0,F2;F3;F6;F7
5,2,0.5831,58.31,F2;F3;F4;F6;F7
5,3,0.9012,90.12,F2;F3;F4;F6;F7
5,4,1.0,100.0,F2;F3;F4;F6;F7
5,5,1.0,100.0,F2;F3;F4;F6;F7
5,6,1.0,100.0,F2;F3;F4;F6;F7
5,8,1.0,100.0,F2;F3;F4;F6;F7
5,10,1.0,100.0,F2;F3;F4;F6;F7
6,2,0.5831,58.31,F1;F2;F3;F4;F6;F7
6,3,0.9012,90.12,F1;F2;F3;F4;F6;F7
6,4,1.0,100.0,F1;F2;F3;F4;F6;F7
6,5,1.0,100.0,F1;F2;F3;F4;F6;F7
6,6,1.0,100.0,F1;F2;F3;F4;F6;F7
6,8,1.0,100.0,F1;F2;F3;F4;F6;F7
6,10,1.0,100.0,F1;F2;F3;F4;F6;F7
7,2,0.5831,58.31,F1;F2;F3;F4;F5;F6;F7
7,3,0.9012,90.12,F1;F2;F3;F4;F5;F6;F7
7,4,1.0,100.0,F1;F2;F3;F4;F5;F6;F7
7,5,1.0,100.0,F1;F2;F3;F4;F5;F6;F7
7,6,1.0,100.0,F1;F2;F3;F4;F5;F6;F7
7,8,1.0,100.0,F1;F2;F3;F4;F5;F6;F7
7,10,1.0,100.0,F1;F2;F3;F4;F5;F6;F7
